setSize,posInSet,present,numberSet,target,corrAns,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,OK1.keys,OK1.rt,OK1.started,OK1.stopped,fixation.started,fixation.stopped,presentSet.started,presentSet.stopped,presentTarget.started,presentTarget.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instr2.started,instr2.stopped,OK2.keys,OK2.rt,OK2.started,OK2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,--,n,1 7 8 3 9,2,left,,,,,0,109,109,85,,,,,,,908.387278360984,909.3987457769981,909.5670091020002,911.0834791490051,913.0633395859913,None,left,1,1.220372378011234,913.0633395859913,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,3,y,6 7 8 5,8,right,,,,,0,110,110,51,,,,,,,914.3209961139946,915.3323287029925,915.4998729079962,916.9988666989957,918.9979528590047,None,right,1,1.6568935579853132,918.9979528590047,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,3,y,1 4 9 3 2 5,9,right,,,,,0,111,111,107,,,,,,,920.6833872739808,921.6992026389926,921.865562239982,923.3654081689892,925.3665606089926,None,right,1,1.3599737030162942,925.3665606089926,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,5,y,5 7 3 6 2,2,right,,,,,0,112,112,89,,,,,,,926.7649893669877,927.7657678549876,927.932799089991,929.4319699439802,931.4326130389818,None,right,1,0.8618554749991745,931.4326130389818,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,7 3 2 8,4,left,,,,,0,113,113,37,,,,,,,932.3333691349835,933.3481786240009,933.4980815929885,934.9993018389796,936.9962866359856,None,left,1,1.1692288830236066,936.9962866359856,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,--,n,1,7,left,,,,,0,114,114,2,,,,,,,938.1991470829817,939.1981196419802,939.362899558997,940.8639427239832,942.866061948007,None,left,1,0.9088467039982788,942.866061948007,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,5 2,7,left,,,,,0,115,115,14,,,,,,,943.8001927349833,944.7993403349828,944.9821212789975,946.4836450179864,948.4807095970027,None,left,1,0.7913706940016709,948.4807095970027,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,6 9 5,8,left,,,,,0,116,116,18,,,,,,,949.3024213269819,950.3149107249919,950.482282891986,951.9818425169797,953.9824169109925,None,left,1,1.2833865479915403,953.9824169109925,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,6 3 1 7 9 8,4,left,,,,,0,117,117,103,,,,,,,955.3025774770067,956.3147644939891,956.481288445997,957.9814670179912,959.9794521369913,None,left,1,0.9552171220129821,959.9794521369913,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,4,y,4 9 7 8 5 3,8,right,,,,,0,118,118,111,,,,,,,960.9818336379831,961.9781132169883,962.1489376619866,963.6486892719986,965.6464139930031,None,right,1,1.0161069270106964,965.6464139930031,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
