,Unnamed: 0,Unnamed: 25,congruent,corrAns,date,expName,frameRate,instrText.started,instrText.stopped,letterColor,participant,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
55,,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.5267462260089815,69.27569796398166,None,1.0,blue,,,4.0,25.0,4.0,1.0,69.27569796398166,None
56,,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.0983644939842634,70.30809897798463,None,1.0,red,,,0.0,26.0,4.0,2.0,70.30809897798463,None
57,,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.3431290030130183,71.90731788298581,None,1.0,blue,,,5.0,27.0,4.0,3.0,71.90731788298581,None
58,,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.9787758399907034,73.75755274499535,None,1.0,green,,,3.0,28.0,4.0,4.0,73.75755274499535,None
59,,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.9106973299931268,75.24152686298476,None,1.0,green,,,2.0,29.0,4.0,5.0,75.24152686298476,None
60,0.0,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,23.28720174398041,None,red,1.0,2020.1.2,1.0,left,1.1239715729898307,30.561659061000682,None,1.0,red,,,0.0,0.0,0.0,0.0,30.561659061000682,None
61,1.0,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8827095440065023,32.19191870698705,None,1.0,red,,,1.0,1.0,0.0,1.0,32.19191870698705,None
62,2.0,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.4773139850003645,33.575173844001256,None,1.0,green,,,3.0,2.0,0.0,2.0,33.575173844001256,None
63,3.0,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6155794060032349,34.5619866559864,None,1.0,blue,,,4.0,3.0,0.0,3.0,34.5619866559864,None
64,4.0,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8124830980086699,35.693957409006536,None,1.0,green,,,2.0,4.0,0.0,4.0,35.693957409006536,None
65,5.0,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.4948099410103168,37.01074217900168,None,1.0,blue,,,5.0,5.0,0.0,5.0,37.01074217900168,None
66,6.0,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.8979434969951399,39.010584486997686,None,1.0,red,,,1.0,6.0,1.0,0.0,39.010584486997686,None
67,7.0,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.5528319300210569,40.40845732798335,None,1.0,green,,,2.0,7.0,1.0,1.0,40.40845732798335,None
68,8.0,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,0.7617821790045127,41.47862289400655,None,1.0,red,,,0.0,8.0,1.0,2.0,41.47862289400655,None
69,9.0,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6487987869768403,42.74263982998672,None,1.0,blue,,,4.0,9.0,1.0,3.0,42.74263982998672,None
70,10.0,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.3742430200218223,43.892966916988364,None,1.0,blue,,,5.0,10.0,1.0,4.0,43.892966916988364,None
71,11.0,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8681021119991783,45.77711231500143,None,1.0,green,,,3.0,11.0,1.0,5.0,45.77711231500143,None
72,12.0,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.5722225799981966,47.15881612498197,None,1.0,blue,,,5.0,12.0,2.0,0.0,47.15881612498197,None
73,13.0,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8479593879892491,49.24328242399497,None,1.0,blue,,,4.0,13.0,2.0,1.0,49.24328242399497,None
74,14.0,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6404008020181209,50.59273688000394,None,1.0,green,,,3.0,14.0,2.0,2.0,50.59273688000394,None
75,15.0,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,1.306087232020218,51.74098926800071,None,1.0,red,,,1.0,15.0,2.0,3.0,51.74098926800071,None
76,16.0,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,0.7695643600018229,53.55945702799363,None,1.0,red,,,0.0,16.0,2.0,4.0,53.55945702799363,None
77,17.0,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.9168195000092964,54.84309843700612,None,1.0,green,,,2.0,17.0,2.0,5.0,54.84309843700612,None
78,18.0,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8667593720019795,56.27612657999271,None,1.0,green,,,3.0,18.0,3.0,0.0,56.27612657999271,None
79,19.0,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,1.001580551994266,57.658262490993366,None,1.0,blue,,,4.0,19.0,3.0,1.0,57.658262490993366,None
80,20.0,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,0.0,left,1.8149727669951967,59.174931768997354,None,1.0,red,,,1.0,20.0,3.0,2.0,59.174931768997354,None
81,21.0,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.4889435109798796,61.49188600099296,None,1.0,red,,,0.0,21.0,3.0,3.0,61.49188600099296,None
82,22.0,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,2.082919765991392,63.4938770349836,None,1.0,blue,,,5.0,22.0,3.0,4.0,63.4938770349836,None
83,23.0,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,0.0,right,0.6619299709855113,66.0936097369995,None,1.0,green,,,2.0,23.0,3.0,5.0,66.0936097369995,None
84,24.0,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,1.5127920590166468,67.25768056098605,None,1.0,red,,,1.0,24.0,4.0,0.0,67.25768056098605,None
85,25.0,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.5267462260089815,69.27569796398166,None,1.0,blue,,,4.0,25.0,4.0,1.0,69.27569796398166,None
86,26.0,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.0983644939842634,70.30809897798463,None,1.0,red,,,0.0,26.0,4.0,2.0,70.30809897798463,None
87,27.0,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.3431290030130183,71.90731788298581,None,1.0,blue,,,5.0,27.0,4.0,3.0,71.90731788298581,None
88,28.0,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.9787758399907034,73.75755274499535,None,1.0,green,,,3.0,28.0,4.0,4.0,73.75755274499535,None
89,29.0,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.9106973299931268,75.24152686298476,None,1.0,green,,,2.0,29.0,4.0,5.0,75.24152686298476,None
90,30.0,,1.0,left,2020_Apr_04_0836,stroop,59.98458072042144,10.652306149015203,None,red,2.0,2020.1.2,1.0,left,0.8709385730035137,13.003217362012947,None,1.0,red,,,0.0,0.0,0.0,0.0,13.003217362012947,None
91,31.0,,1.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.7522510720009449,14.384973976004405,None,1.0,blue,,,4.0,1.0,0.0,1.0,14.384973976004405,None
92,32.0,,0.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.8175212960049976,15.65262122801505,None,1.0,red,,,1.0,2.0,0.0,2.0,15.65262122801505,None
93,33.0,,0.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,1.010868319979636,16.985286189010367,None,1.0,blue,,,5.0,3.0,0.0,3.0,16.985286189010367,None
94,34.0,,0.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,2.2865784160094336,18.50242132198764,None,1.0,green,,,3.0,4.0,0.0,4.0,18.50242132198764,None
95,35.0,,1.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.8924100099829957,21.28450308399624,None,1.0,green,,,2.0,5.0,0.0,5.0,21.28450308399624,None
96,36.0,,0.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.6428713939967565,22.685183933004733,None,1.0,blue,,,5.0,6.0,1.0,0.0,22.685183933004733,None
97,37.0,,1.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.4467519820027519,23.83609798000544,None,1.0,red,,,0.0,7.0,1.0,1.0,23.83609798000544,None
